movieId,id,title,tags
1,862,Toy Story,"led by woody, andy's toys live happily in his room until andy's birthday brings buzz lightyear onto the scene. afraid of losing his place in andy's heart, woody plots against buzz. but when circumstances separate buzz and woody from their owner, the duo eventually learns to put aside their differences. animation comedy family jealousy toy boy friendship friends rivalry boynextdoor newtoy toycomestolife tomhanks timallen donrickles johnlasseter"
14,10858,Nixon,"an all-star cast powers this epic look at american president richard m. nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within. spanning his troubled boyhood in california to the shocking watergate scandal that would end his presidency. history drama usapresident presidentialelection watergatescandal biography government historicalfigure anthonyhopkins joanallen powersboothe oliverstone"
17,4584,Sense and Sensibility,"rich mr. dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. two daughters are the titular opposites. drama romance bowling basedonnovel servant countrylife janeausten inheritance militaryofficer perioddrama rainstorm horseandcarriage decorum katewinslet emmathompson hughgrant anglee"
18,5,Four Rooms,it's ted the bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. it seems that this evening's room service is serving up one unbelievable happening after another. crime comedy hotel newyear'seve witch bet hotelroom sperm losangeles hoodlum womandirector episodefilm timroth antoniobanderas jenniferbeals allisonanders alexandrerockwell robertrodriguez quentintarantino
19,9273,Ace Ventura: When Nature Calls,"summoned from an ashram in tibet, ace finds himself on a perilous journey into the jungles of africa to find shikaka, the missing sacred animal of the friendly wachati tribe. he must accomplish this before the wedding of the wachati's princess to the prince of the warrior wachootoos. if ace fails, the result will be a vicious tribal war. crime comedy adventure africa indigenous humananimalrelationship bat jimcarrey ianmcneice simoncallow steveoedekerk"
21,8012,Get Shorty,"chili palmer is a miami mobster who gets sent by his boss, the psychopathic ""bones"" barboni, to collect a bad debt from harry zimm, a hollywood producer who specializes in cheesy horror films. when chili meets harry's leading lady, the romantic sparks fly. after pitching his own life story as a movie idea, chili learns that being a mobster and being a hollywood producer really aren't all that different. comedy thriller crime gambling miami basedonnovel job murder travel mafia money debt mobster business hollywood gangster crime violence drug producer con johntravolta genehackman renerusso barrysonnenfeld"
22,1710,Copycat,an agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past. drama thriller policebrutality psychology policeoperation policeprotection serialkiller psychologist cowardliness sigourneyweaver hollyhunter willpatton jonamiel
25,451,Leaving Las Vegas,"ben sanderson, an alcoholic hollywood screenwriter who lost everything because of his drinking, arrives in las vegas to drink himself to death. there, he meets and forms an uneasy friendship and non-interference pact with prostitute sera. drama romance individual prostitute alcohol casino loveatfirstsight lovesickness filmproducer screenwriter hotelroom dyinganddeath rageandhate unsociability alcoholism losangeles alcoholabuse attemptedsuicide nicolascage elisabethshue juliansands mikefiggis"
34,9598,Babe,"babe is a little pig who doesn't quite know his place in the world. with a bunch of odd friends, like ferdinand the duck who thinks he is a rooster and fly the dog he calls mom, babe realizes that he has the makings to become the greatest sheep pig of all time, and farmer hogget knows it. with the help of the sheep dogs babe learns that a pig can be anything that he wants to be. fantasy drama comedy family sheep pig affection piglet heroism talkinganimal separation germanshepherd grandson talkingpig christinecavanaugh miriammargolyes dannymann chrisnoonan"
36,687,Dead Man Walking,a justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. susan sarandon won an oscar for best female actress for her convincing portrayal of sister helen prejean. drama prison rape sociallydeprivedfamily penalty deathpenalty despair deathrow begnadigung therapist self-discovery prisoncell courtcase deathsentence doomedman sentence lethalinjection forgiveness charity mercypetition rageandhate unsociability rightandjustice court electricchair cowardliness susansarandon seanpenn robertprosky timrobbins
39,9603,Clueless,"shallow, rich and socially successful cher is at the top of her beverly hills high school's pecking scale. seeing herself as a matchmaker, cher first coaxes two teachers into dating each other. emboldened by her success, she decides to give hopelessly klutzy new student tai a makeover. when tai becomes more popular than she is, cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him. comedy drama romance puberty highschool makeamatch spoiledchild gayinterest conflict womandirector aliciasilverstone staceydash brittanymurphy amyheckerling"
41,31174,Richard III,shakespeare's play transplanted into a 1930s setting. drama war england shakespeare kidnapping murder king ianmckellen annettebening jimbroadbent richardloncraine
44,9312,Mortal Kombat,"for nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. if he wins a tenth mortal kombat tournament, desolation and evil will reign over the multiverse forever. to save earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time. action fantasy martialarts monster island gore sorcerer tournament violence basedonvideogame handtohandcombat christopherlambert robinshou lindenashby paulw.s.anderson"
45,577,To Die For,"susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. a very dark comedy from independent director gus van sant with a brilliant nicole kidman in the leading role. fantasy drama comedy thriller adultery winter obsession television newhampshire narcissisticpersonalitydisorder nicolekidman mattdillon joaquinphoenix gusvansant"
47,807,Se7en,"two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. the seasoned det. sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, mills, scoffs at his efforts to unravel the case. crime mystery thriller self-fulfillingprophecy detective s.w.a.t. drugdealer evisceration lustandimpulsiveness rageandhate prideandvanity immoderateness insomnia investigation pension police serialkiller bradpitt morganfreeman gwynethpaltrow davidfincher"
50,629,The Usual Suspects,"held in an l.a. interrogation room, verbal kint attempts to convince the feds that a mythic crime lord, keyser soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in san pedro harbor – leaving few survivors. verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess. drama crime thriller law relatives theft criminal criminalmastermind hungarian sibling stephenbaldwin gabrielbyrne chazzpalminteri bryansinger"
57,9089,Home for the Holidays,"after losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend thanksgiving with her boyfriend, claudia larson has to face spending the holiday with her family. she wonders if she can survive their crazy antics. comedy drama romance baltimore thanksgiving familyclan familyconflict generationsconflict womandirector hollyhunter robertdowneyjr. annebancroft jodiefoster"
60,11359,The Indian in the Cupboard,a nine-year-old boy gets a plastic indian and a cupboard for his birthday and finds himself involved in adventure when the indian comes to life and befriends him. adventure family fantasy cupboard games puppet parallelworld toycomestolife halscardino litefoot lindsaycrouse frankoz
61,17182,Eye for an Eye,"it's fire and brimstone time as grieving mother karen mccann takes justice into her own hands when a kangaroo court in los angeles fails to convict robert doob, the monster who raped and murdered her 17-year-old daughter. drama thriller rape gun self-defense grievingparents sallyfield kiefersutherland edharris johnschlesinger"
62,2054,Mr. Holland's Opus,"in 1965, passionate musician glenn holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. as the decades roll by with the composition unwritten but generations of students inspired through his teaching, holland must redefine his life's purpose. music drama family composer mentor deaf-mute musical apprentice privatelife music disabled richarddreyfuss glenneheadly jaythomas stephenherek"
69,10634,Friday,"craig and smokey are two guys in los angeles hanging out on their porch on a friday afternoon, smoking and drinking, looking for something to do. comedy rapmusic parentskidsrelationship rapper job icecube christucker nialong f.garygray"
70,755,From Dusk Till Dawn,"seth gecko and his younger brother richard are on the run after a bloody bank robbery in texas. they escape across the border into mexico and will be home-free the next morning, when they pay off the local kingpin. they just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a hell of a strip joint. horror action thriller crime dancing brotherbrotherrelationship sexualobsession showdown sheriff eroticism nudity bankrobber vampire holywater siege stripper priest explosion extremeviolence bankrobbery preacher hostagesituation crucifix recreationalvehicle bloodspurting conveniencestore femalevampire mexicanamericanborder nightclubentertainer boaconstrictor georgeclooney quentintarantino harveykeitel robertrodriguez"
79,9623,The Juror,"with his gangster boss on trial for murder, a mob thug known as ""the teacher"" tells annie laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son oliver if she fails. she manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown. drama thriller jurors blackmail courtcase son trial courtroom demimoore alecbaldwin josephgordon-levitt briangibson"
81,400,Things to Do in Denver When You're Dead,a mafia film in tarantino style with a star-studded cast. jimmy’s “the saint” gangster career has finally ended. yet now he finds him self doing favors for a wise godfather known as “the man with the plan.” drama crime fathersonrelationship bountyhunter boat wayoflife coffin denver godmother paranoia hitman friendship psychopath revenge murder independentfilm mafia diner blood gangster violence illegalprostitution extramaritalaffair andygarcía christopherlloyd williamforsythe garyfleder
86,10534,White Squall,teenage boys discover discipline and camaraderie on an ill-fated sailing voyage. action drama sailingtrip diary sailing survival comingofage teenageboy discipline squall sail shipcaptain caribbean malebonding seasickness stormatsea 1960s jeffbridges carolinegoodall johnsavage ridleyscott
92,9095,Mary Reilly,"a housemaid falls in love with dr. jekyll and his darkly mysterious counterpart, mr. hyde. drama horror thriller romance servant monster laboratory jekyllandhyde housemaid 19thcentury juliaroberts johnmalkovich georgecole stephenfrears"
93,12158,Vampire in Brooklyn,"maximillian, the lone survivor of a race of vampires, comes to brooklyn in search of a way to live past the next full moon. his ticket to survival is rita, a nypd detective who doesn't know she's half vampire -- and maximillian will do whatever's necessary to put her under his spell. comedy horror romance vampire halfvampire eddiemurphy angelabassett allenpayne wescraven"
100,11062,City Hall,"the accidental shooting of a boy in new york leads to an investigation by the deputy mayor, and unexpectedly far-reaching consequences. drama thriller corruption undercover warondrugs mayor drugdealer presidentialelection undercoveragent investigation police drug alpacino johncusack bridgetfonda haroldbecker"
101,13685,Bottle Rocket,"upon his release from a mental hospital following a nervous breakdown, the directionless anthony joins his friend dignan, who seems far less sane than the former. dignan has hatched a hair-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary mr. henry. comedy crime drama brotherbrotherrelationship robbery burglar languagebarrier motel independentfilm psychiatrichospital maid theft nervousbreakdown escapade laundryroom lukewilson owenwilson lumicavazos wesanderson"
104,9614,Happy Gilmore,"failed hockey player-turned-golf whiz happy gilmore -- whose unconventional approach and antics on the grass courts the ire of rival shooter mcgavin -- is determined to win a pga tournament so he can save his granny's house with the prize money. meanwhile, an attractive tour publicist tries to soften happy's image. comedy lossofmother lossoffather golf sport taxes adamsandler benstiller christophermcdonald dennisdugan"
105,688,The Bridges of Madison County,photographer robert kincaid wanders into the life of housewife francesca johnson for four days in the 1960s. drama romance farewell adultery loveatfirstsight photographer wifehusbandrelationship iowa loveofone'slife motherrole bridge housewife loveletter peasant marriagecrisis photography unsociability secretlove naturedocumentary merylstreep clinteastwood anniecorley clinteastwood
112,33542,Rumble in the Bronx,"keong comes from hong kong to visit new york for his uncle's wedding. his uncle runs a market in the bronx and keong offers to help out while uncle is on his honeymoon. during his stay in the bronx, keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. one of those petty thugs in the local gang stumbles into a criminal situation way over his head. crime action comedy thriller newyork martialarts supermarket gangwar disabledchild gang wedding diamond bronx duringcreditsstinger jackiechan anitamui françoiseyip stanleytong"
122,11066,Boomerang,"marcus is a successful advertising executive who woos and beds women almost at will. after a company merger he finds that his new boss, the ravishing jacqueline, is treating him in exactly the same way. completely traumatised by this, his work goes badly downhill. comedy romance roleofwomen ladykiller success ladies'man chefin casanova womanizer eddiemurphy robingivens halleberry reginaldhudlin"
125,2074,Flirting with Disaster,"adopted as a child, new father mel colpin (ben stiller) decides he cannot name his son until he knows his birth parents, and determines to make a cross-country quest to find them. accompanied by his wife, nancy (patricia arquette), and an inept yet gorgeous adoption agent, tina (tea leoni), he departs on an epic road trip that quickly devolves into a farce of mistaken identities, wrong turns, and overzealous and love-struck atf agents (josh brolin, richard jenkins). comedy romance lsd lookingforbirthparents half-brother independentfilm benstiller patriciaarquette téaleoni davido.russell"
144,16388,The Brothers McMullen,"deals with the lives of the three irish catholic mcmullen brothers from long island, new york, over three months, as they grapple with basic ideas and values — love, sex, marriage, religion and family — in the 1990s. directed, written, produced by and starring edward burns. comedy drama romance love independentfilm bestfriend truelove irishcatholic sharialbert maxinebahns catharinebolz edwardburns"
145,9737,Bad Boys,"marcus burnett is a hen-pecked family man. mike lowry is a foot-loose and fancy free ladies' man. both are miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. to complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other. action comedy crime thriller miami detective handcuffs airport mexicanstandoff stripclub witnessprotection carcrash internalaffairs gunfight explosion brutality footchase carchase druglord hangar loosecannon bust referencetoskittles blackcop badge actionhero corruptcop willsmith martinlawrence téaleoni michaelbay"
151,11780,Rob Roy,"in the highlands of scotland in the 1700s, rob roy tries to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. when the money is stolen, rob is forced into a robin hood lifestyle to defend his family and honour. adventure scotland biography 18thcentury highlands violentman liamneeson jessicalange johnhurt michaelcaton-jones"
163,8068,Desperado,a gunslinger is embroiled in a war with a local drug runner. thriller action crime gunslinger antiterror ambush mexico showdown guitar nudity hitman bartender revenge tragichero shootout mariachi explosion extremeviolence brutality druglord legbrace concealedweapon flashback bookstore antoniobanderas salmahayek joaquimdealmeida robertrodriguez
170,10428,Hackers,"along with his new friends, a teenager who was arrested by the us secret service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use their computer skills to find the evidence while being pursued by the secret service and the evil computer genius behind the virus. action crime thriller drama femalenudity hacker nudity computervirus virtualreality computer sexualfantasy prank internet cyberpunk teenager newyorkcity secretservice computerhacker dreamsequence jonnyleemiller angelinajolie jessebradford iainsoftley"
180,2293,Mallrats,"both dumped by their girlfriends, two best friends seek refuge in the local mall. romance comedy sex gameshow slacker shopping mall ex-boyfriendex-girlfriendrelationship jayandsilentbob silentman coke bandleader aftercreditsstinger jasonlee jeremylondon shannendoherty kevinsmith"
185,1642,The Net,"angela bennett is a freelance software engineer who lives in a world of computer technology. when a cyber friend asks bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down. while on vacation in mexico, her purse is stolen. she soon finds that people and events may not be what they seem as she becomes the target of an assassination. her vacation is ruined. she gets a new passport at the u.s. embassy in mexico but it has the wrong name, ruth marx. when she returns to the u.s. to sort things out, she discovers that ruth marx has an unsavory past and a lengthy police record. to make matters worse, another person has assumed her real identity ... crime drama mystery thriller action cheating newidentity computervirus chase computer stalking sandrabullock jeremynortham dennismiller irwinwinkler"
188,11980,The Prophecy,"the angel gabriel comes to earth to collect a soul which will end the stalemated war in heaven, and only a former priest and a little girl can stop him. fantasy horror thriller angel archangelgabriel menschheit christopherwalken eliaskoteas virginiamadsen gregorywiden"
193,10802,Showgirls,a young drifter named nomi arrives in las vegas to become a dancer and soon sets about clawing and pushing her way to become a top showgirl. drama dancing femalenudity go-godancer spanner seduction striptease sexappeal elizabethberkley kylemaclachlan ginagershon paulverhoeven
196,9348,Species,"in 1993, the search for extra terrestrial intelligence project receives a transmission detailing an alien dna structure, along with instructions on how to splice it with human dna. the result is sil, a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye. sciencefiction horror action telepathy dna paranoia genetics instinct femmefatale alien ontherun decapitation sexualattraction losangeles cocoon geneticengineering scientists aliendna natashahenstridge benkingsley michaelmadsen rogerdonaldson"
215,76,Before Sunrise,"a dialogue marathon of a film, this fairytale love story of an american boy and french girl. during a day and a night together in vienna their two hearts collide. drama romance dialogue sunrise talking soulmates walking austria traveller danube bittersweet romantic vienna ethanhawke juliedelpy andreaeckert richardlinklater"
223,2292,Clerks,"convenience and video store clerks dante and randal are sharp-witted, potty-mouthed and bored out of their minds. so in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives. comedy salesclerk loser aftercreditsstinger briano'halloran jeffanderson jasonmewes kevinsmith"
224,1909,Don Juan DeMarco,"john arnold demarco is a man who believes he is don juan, the greatest lover in the world. clad in a cape and mask, demarco undergoes psychiatric treatment with dr. jack mickler to cure him of his apparent delusion. but the psychiatric sessions have an unexpected effect on the psychiatric staff and, most profoundly, dr mickler, who rekindles the romance in his complacent marriage. romance drama comedy sexaddiction love mentalinstitution patient psychiatrist donjuan johnnydepp marlonbrando fayedunaway jeremyleven"
231,8467,Dumb and Dumber,"lloyd and harry are two men whose stupidity is really indescribable. when mary, a beautiful woman, loses an important suitcase with money before she leaves for aspen, the two friends (who have found the suitcase) decide to return it to her. after some ""adventures"" they finally get to aspen where, using the lost money they live it up and fight for mary's heart. comedy gasstation motel utah stupidity pill prank cigarsmoking violence criminal firedfromthejob clumsiness stepmotherstepdaughterrelationship sittingonatoilet aspencolorado parakeet defecation scooter hotelsuite endangeredspecies foolish laxative jimcarrey jeffdaniels laurenholly bobbyfarrelly peterfarrelly"
235,522,Ed Wood,"the mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless b-movies without ever becoming famous or successful. comedy drama history individual taxi transsexuality fortuneteller filmbusiness filmmaking filmproducer vororte filmmaker boxer filmdirector oddball celebrity morphine moviestudio losangeles drugaddict cultdirector theremin handgun trickortreating actor transvestite johnnydepp martinlandau sarahjessicaparker timburton"
247,1024,Heavenly Creatures,"based on the true story of juliet hulme and pauline parker, two close friends who share a love of fantasy and literature, who conspire to kill pauline's mother when she tries to end the girls' intense and obsessive relationship. drama fantasy mother sex secret obsession literature nudity fantasy passion love friends murder independentfilm lesbian true relationship melanielynskey katewinslet sarahpeirse peterjackson"
254,87729,Jefferson in Paris,"his wife having recently died, thomas jefferson accepts the post of united states ambassador to pre-revolutionary france, though he finds it difficult to adjust to life in a country where the aristocracy subjugates an increasingly restless peasantry. in paris, he becomes smitten with cultured artist maria cosway, but, when his daughter visits from virginia accompanied by her attractive slave, sally hemings, jefferson's attentions are diverted. drama romance france revolution biography president history nicknolte gretascacchi thandienewton jamesivory"
255,18713,The Jerky Boys,"when two unemployed telephone pranksters decide to use their vocal ""talents"" to impersonate a chicago mob boss and curry favor with organized crime in new york, the trouble begins. it isn't long before johnny and kamal (the ""jerky boys"" of crank call fame) are wanted by the local mafia, the police, and their neighbor. comedy crime newyork telephonejoke gangster johng.brennan kamalahmed alanarkin jamesmelkonian"
